"","anon_id","follow_date","follow_score","follow_income","advisor_id","branch_id","baseline_income","client_type","area","in_01","in_02","in_03","in_04","in_05","in_06","in_07","in_08","in_09","in_10","in_11","in_12","in_13","in_14","in_15","in_16","in_17","in_18","in_19","in_20","in_21","in_22","in_23","in_24","in_25","in_26","in_27","in_28","in_29","in_30","in_31","in_32","in_33","in_34","in_35","in_36","in_37","in_38","in_39","in_40","in_41","in_42","in_43","in_44","in_45","in_46","in_47","in_48","in_49","in_50","base_score","base_date","change","improve","remove"
"30",716813,2016-12-29,144,1100,948,2,350,"Sorteado","Metropolitan",2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,1,136,2016-03-23,8,1,0
"31",722749,2016-10-28,145,724,1648,3,420,"Sorteado","Metropolitan",2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,2,2,3,3,3,2,3,2,2,3,3,3,3,138,2016-09-06,7,1,0
"32",735030,2017-04-27,150,1850,663,7,1850,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,148,2017-02-22,2,1,0
"33",747113,2016-12-23,150,0,1539,25,980,"Sorteado","Rural",3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,147,2016-06-09,3,1,0
"34",763086,2016-06-02,145,383.3333333,1185,5,4000,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,142,2015-12-04,3,1,0
"35",767149,2016-09-22,140,493.3333333,1535,17,400,"Sorteado","Urban",2,2,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,139,2016-07-21,1,1,0
"36",769648,2017-01-03,148,700,1637,12,433.3333333,"Sorteado","Urban",2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,147,2016-12-14,1,1,0
"37",773125,2017-01-05,140,466.6666667,821,15,333.3333333,"Sorteado","Urban",2,3,3,2,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,138,2016-11-07,2,1,0
"38",776064,2016-09-26,146,3733.333333,988,2,300,"Sorteado","Metropolitan",1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,142,2016-07-20,4,1,0
"39",783523,2016-08-31,150,480,785,5,400,"Sorteado","Rural",3,1,3,3,1,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,1,1,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,138,2015-09-10,12,1,0
"40",786415,2017-01-05,149,1520,1323,7,1520,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,147,2016-10-12,2,1,0
"41",786605,2017-01-05,149,991.12675,1615,6,556.01375,"Seleccionado","Metropolitan",2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-12-17,3,1,0
"42",788262,2017-01-05,150,1125,1219,5,1125,NA,"Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-10-14,2,1,0
"43",788356,2016-11-03,149,632.0078571,1449,20,632.0078571,"Sorteado","Metropolitan",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,148,2016-10-20,1,1,0
